family_node_id	family_label	role_heads	authority_levels	venue	channel	product	population	task	industry	knowledge_domain	work_object	residual_policy
15223	Ships Deck Crews And Related Workers	boatswain|deckhand|decksman|minder|sailor|seaman	none	port				support	fisheries|ordinary_industry|transport		deck_work_object|engine_work_object	specific
15227	Domestic Hotel And Office Cleaners And Helpers	attendant|cleaner|groomer	assistant|none	hospital|hotel|office|room			guests|patients	building|help	aviation|domestic_industry|transport		toilet_work_object|train_work_object	specific
15230	Vehicle Window Laundry And Other Hand Cleaning Workers	attendant|cleaner|presser|worker	none	facility|laundry|park|room			customers	amusement_task|apparel_task|swimming_task|wearing_task	road|transport		drapery_work_object|linen_work_object	specific
15236	Agricultural Forestry And Fishery Labourers	catcher|collector|groom|labourer|picker|worker	none	farm|garden|site|vineyard			animals|equine|livestock	harvesting_task|horticulture_task|labour_task|mooring|production	agriculture|aquaculture|aquatic_industry|crop_industry|foot_industry|forestry|transport	resources_knowledge_domain	forest_work_object	specific
15244	Mining And Construction Labourers	assistant|installer|labourer|layer|marker|worker	none	mine|site				building|labour_task|maintenance|support	civil|construction|mining|road|transport|waterway_industry	engineering|sign		specific
15248	Manufacturing Labourers	caulker|finisher|hand|packer	none	factory				clothing_task|manufacturing				specific
15251	Transport And Storage Labourers	courier|dispatcher|driver|filler|handler|labourer|mover|operator|packer|picker|stevedore|superintendent|worker	none	airport|centre|warehouse	distribution	goods_product	customers|passengers	baggage_task	aviation|intermodal_industry|road|transport		cargo_work_object|carriage_work_object|equipment_work_object|freight_work_object|materials_work_object|rail_work_object|shelf_work_object	specific
15257	Food Preparation Assistants	assistant|member|pizzaiolo|porter	assistant|none	kitchen|restaurant			customers	quick_task|service				specific
15261	Street And Related Service Workers	distributor|worker	none			leaflet_product		service				specific
15263	Street Vendors Excluding Food	hawker|vendor	none	market			customer					specific
15266	Refuse Workers	collector|labourer|sorter|sweeper|worker	none	facility				recycling_task	road|transport		refuse_work_object	specific
15270	Other Elementary Workers	attendant|doorman|handyperson|installer|operator|porter|reader|usher	none	hotel|room|site			guests	advertising|amusement_task|attraction_task|recreation_task|vending_task			cloak_work_object|laundromat_work_object|locker_work_object|machine_work_object	residual_when_no_specific_family
