concept_id,canonical,dimension
itinerant_knowledge_domain,itinerant,knowledge_domain
jewellery_designer_work_object,jewellery designer,work_object
jewellery_mounter_work_object,jewellery mounter,work_object
jewelry_product,jewelry,product
journalism,journalism,task
judge_work_object,judge,work_object
judicial,judicial,industry
jury_work_object,jury,work_object
justice_industry,justice,industry
juvenile_industry,juvenile,industry
kennel_work_object,kennel,work_object
kettle_work_object,kettle,work_object
keyboard_knowledge_domain,keyboard,knowledge_domain
kiln_firer_work_object,kiln firer,work_object
kiln_work_object,kiln,work_object
kitchen,kitchen,venue
knowledge_knowledge_domain,knowledge,knowledge_domain
knowledge_work_object,knowledge,work_object
kosher_butcher_work_object,kosher butcher,work_object
kosher_slaughterer_work_object,kosher slaughterer,work_object
lab,lab,venue
labour_task,labour,task
lacquer_spray_gun_work_object,lacquer spray gun,work_object
lacquer_work_object,lacquer,work_object
land_based_machinery_work_object,land based machinery,work_object
land_based_work_object,land based,work_object
land_work_object,land,work_object
landfill_work_object,landfill,work_object
landscape_designer_work_object,landscape designer,work_object
landscape_gardener_work_object,landscape gardener,work_object
landscape_work_object,landscape,work_object
language,language,knowledge_domain
languages,languages,knowledge_domain
laser_beam_work_object,laser beam,work_object
laser_work_object,laser,work_object
lathe_work_object,lathe,work_object
laundromat_work_object,laundromat,work_object
laundry,laundry,venue
law,law,knowledge_domain
lawyer_linguist_work_object,lawyer linguist,work_object
layout,layout,task
leaf_sorter_work_object,leaf sorter,work_object
leaf_tier_work_object,leaf tier,work_object
leaflet_product,leaflet,product
lean_work_object,lean,work_object
learning,learning,task
leather_good_designer_work_object,leather good designer,work_object
leather_good_hand_stitcher_work_object,leather good hand stitcher,work_object
leather_good_hand_work_object,leather good hand,work_object
leather_good_knowledge_domain,leather good,knowledge_domain
leather_good_product_work_object,leather good product,work_object
leather_good_work_object,leather good,work_object
leather_product_knowledge_domain,leather product,knowledge_domain
leather_product_product,leather product,product
leather_raw_industry,leather raw,industry
leather_sorter_work_object,leather sorter,work_object
leather_wet_task,leather wet,task
leisure_work_object,leisure,work_object
level_task,level,task
lieutenant_work_object,lieutenant,work_object
life_knowledge_domain,life,knowledge_domain
lifeguard_knowledge_domain,lifeguard,knowledge_domain
lift_work_object,lift,work_object
light_board_work_object,light board,work_object
light_motor_product,light motor,product
lime_kiln_work_object,lime kiln,work_object
line_work_object,line,work_object
linen_work_object,linen,work_object
liquid_fuel_work_object,liquid fuel,work_object
liquid_waste_work_object,liquid waste,work_object
liquor_blender_work_object,liquor blender,work_object
liquor_work_object,liquor,work_object
list_task,list,task
literacy,literacy,knowledge_domain
literature_knowledge_domain,literature,knowledge_domain
livestock,livestock,population
loan_work_object,loan,work_object
locker_work_object,locker,work_object
locksmith_work_object,locksmith,work_object
loss_adjuster_work_object,loss adjuster,work_object
lottery_work_object,lottery,work_object
lumber_work_object,lumber,work_object
machine_product,machine,product
machine_task,machine,task
machine_tool_knowledge_domain,machine tool,knowledge_domain
machine_tool_product,machine tool,product
machine_work_object,machine,work_object
machinery_knowledge_domain,machinery,knowledge_domain
made_up_textile_article_manufacturer_work_object,made up textile article manufacturer,work_object
magazine_knowledge_domain,magazine,knowledge_domain
mail_work_object,mail,work_object
make_up_knowledge_domain,make up,knowledge_domain
malt_kiln_work_object,malt kiln,work_object
malt_work_object,malt,work_object
man_made_fiber_spinner_work_object,man made fiber spinner,work_object
management,management,task
manufactured_wooden_work_object,manufactured wooden,work_object
maritime_knowledge_domain,maritime,knowledge_domain
maritime_water_industry,maritime water,industry
marriage_work_object,marriage,work_object
mask_work_object,mask,work_object
massage_work_object,massage,work_object
masseur_masseuse_work_object,masseur masseuse,work_object
materials_product,materials,product
materials_work_object,materials,work_object
maternity_task,maternity,task
mathematics,mathematics,knowledge_domain
matrose_work_object,matrose,work_object
mattress_work_object,mattress,work_object
measure_work_object,measure,work_object
meat_cutter_work_object,meat cutter,work_object
meat_knowledge_domain,meat,knowledge_domain
meat_product,meat,product
meat_product_knowledge_domain,meat product,knowledge_domain
meat_product_product,meat product,product
meat_work_object,meat,work_object
mechanical,mechanical,industry
media,media,knowledge_domain
media_knowledge_domain,media,knowledge_domain
media_product,media,product
medicine,medicine,knowledge_domain
medium_work_object,medium,work_object
member_task,member,task
membership_work_object,membership,work_object
membranophone_knowledge_domain,membranophone,knowledge_domain
mental,mental,industry
merger_knowledge_domain,merger,knowledge_domain
meter_product,meter,product
meter_reader_work_object,meter reader,work_object
meter_work_object,meter,work_object
meters_product,meters,product
meters_work_object,meters,work_object
microelectronics,microelectronics,knowledge_domain
microsystem_knowledge_domain,microsystem,knowledge_domain
microsystem_work_object,microsystem,work_object
middle_knowledge_domain,middle,knowledge_domain
midwife_work_object,midwife,work_object
midwifery_knowledge_domain,midwifery,knowledge_domain
migrant_industry,migrant,industry
military,military,industry
milk_heat_work_object,milk heat,work_object
milk_work_object,milk,work_object
mill,mill,venue
miniature_task,miniature,task
minister_industry,minister,industry
mixed_farmer_work_object,mixed farmer,work_object
mobile,mobile,industry
mobility_task,mobility,task
model_knowledge_domain,model,knowledge_domain
modern_knowledge_domain,modern,knowledge_domain
mollusc_knowledge_domain,mollusc,knowledge_domain
mollusc_product,mollusc,product
montessori_knowledge_domain,montessori,knowledge_domain
mooring,mooring,task
mortgage_loan_work_object,mortgage loan,work_object
mortgage_work_object,mortgage,work_object
motion_knowledge_domain,motion,knowledge_domain
motion_product,motion,product
motor_product,motor,product
motor_vehicle_aftersale_work_object,motor vehicle aftersale,work_object
motor_vehicle_part_work_object,motor vehicle part,work_object
motor_vehicle_work_object,motor vehicle,work_object
motor_work_object,motor,work_object
motorcycle_knowledge_domain,motorcycle,knowledge_domain
motorcycle_work_object,motorcycle,work_object
mould_task,mould,task
moulding,moulding,task
mountain_work_object,mountain,work_object
move_work_object,move,work_object
movie_product,movie,product
mud_logger_work_object,mud logger,work_object
multimedia_product,multimedia,product
museum_knowledge_domain,museum,knowledge_domain
music,music,knowledge_domain
musical,musical,knowledge_domain
nanny_work_object,nanny,work_object
nature_task,nature,task
navy_work_object,navy,work_object
net_task,net,task
network_marketer_work_object,network marketer,work_object
networks_product,networks,product
networks_work_object,networks,work_object
new_anchor_work_object,new anchor,work_object
new_knowledge_domain,new,knowledge_domain
newspaper_knowledge_domain,newspaper,knowledge_domain
night_work_object,night,work_object
nitrator_work_object,nitrator,work_object
nitroglycerin_neutraliser_work_object,nitroglycerin neutraliser,work_object
nitroglycerin_separator_work_object,nitroglycerin separator,work_object
non_knowledge_domain,non,knowledge_domain
non_vessel_task,non vessel,task
non_work_object,non,work_object
nonwoven_staple_work_object,nonwoven staple,work_object
nonwoven_textile_work_object,nonwoven textile,work_object
nonwoven_work_object,nonwoven,work_object
nuclear,nuclear,industry
nurse_responsible_industry,nurse responsible,industry
nursery_knowledge_domain,nursery,knowledge_domain
