source_name,sub_family_node_id,sub_family_label,current_family_node_id,current_family_label,leaf_count,example_leaf_labels,review_action,override_family_node_id,override_family_label,review_note
esco_1_2_1,14681,Business services and administration managers not elsewhere classified,14677,Business services and administration managers,14,foundry manager|quality services manager|corporate social responsibility manager|business service manager|water treatment plant manager|manufacturing facility manager|chemical plant manager|defence administration officer,,,,
esco_1_2_1,14678,Finance managers,14677,Business services and administration managers,5,accounting manager|financial manager|corporate treasurer|budget manager|bank treasurer,,,,
esco_1_2_1,14679,Human resource managers,14677,Business services and administration managers,6,volunteer manager|equality and inclusion manager|employee volunteering programme coordinator|corporate training manager|talent acquisition manager|human resources manager,,,,
esco_1_2_1,14680,Policy and planning managers,14677,Business services and administration managers,13,branch manager|EU funds manager|sustainability manager|strategic planning manager|business manager|health safety and environmental manager|policy manager|director of compliance and information security in gambling,,,,
esco_1_2_1,15214,"Car, taxi and van drivers",15212,"Car, van and motorcycle drivers",7,car and van delivery driver|taxi driver|parking valet|armoured car driver|patient transport services driver|hearse driver|private chauffeur,,,,
esco_1_2_1,15213,Motorcycle drivers,15212,"Car, van and motorcycle drivers",1,motorcycle delivery person,,,,
esco_1_2_1,15026,Cashiers and ticket clerks,15025,Cashiers and ticket clerks,3,cashier|lottery cashier|ticket issuing clerk,,,,
esco_1_2_1,15178,Chemical products plant and machine operators,15177,Chemical and photographic products plant and machine operators,30,nonwoven filament machine operator|nitroglycerin separator operator|lime kiln operator|granulator machine operator|pesticide mixer|pyrotechnics drying room attendant|gauger|lacquer maker,,,,
esco_1_2_1,15179,Photographic products machine operators,15177,Chemical and photographic products plant and machine operators,2,photographic developer|motion picture film developer,,,,
esco_1_2_1,15037,Child care workers,15036,Child care workers and teachers’ aides,6,nanny|child care worker|child day care worker|school bus attendant|babysitter|au pair,,,,
esco_1_2_1,15038,Teachers’ aides,15036,Child care workers and teachers’ aides,4,primary school teaching assistant|special educational needs assistant|early years teaching assistant|secondary school teaching assistant,,,,
esco_1_2_1,14973,Client information workers not elsewhere classified,14965,Client information workers,1,hotel concierge,,,,
esco_1_2_1,14967,Contact centre information clerks,14965,Client information workers,2,customer contact centre information clerk|live chat operator,,,,
esco_1_2_1,14970,Enquiry clerks,14965,Client information workers,1,customer service representative,,,,
esco_1_2_1,14969,Hotel receptionists,14965,Client information workers,3,night auditor|hospitality establishment receptionist|camping ground operative,,,,
esco_1_2_1,14971,Receptionists (general),14965,Client information workers,3,front line medical receptionist|veterinary receptionist|receptionist,,,,
esco_1_2_1,14972,Survey and market research interviewers,14965,Client information workers,2,market research interviewer|survey enumerator,,,,
esco_1_2_1,14968,Telephone switchboard operators,14965,Client information workers,2,telephone switchboard operator|emergency medical dispatcher,,,,
esco_1_2_1,14966,Travel consultants and clerks,14965,Client information workers,9,travel consultant|tour organiser|ground steward/ground stewardess|travel agent|railway sales agent|tourist information officer|host/hostess|tour operator representative,,,,
esco_1_2_1,14660,Commissioned armed forces officers,14659,Commissioned armed forces officers,12,fleet commander|navy officer|artillery officer|army captain|lieutenant|colonel|brigadier|armed forces officer,,,,
esco_1_2_1,14999,Cooks,14998,Cooks,5,industrial cook|cook|diet cook|fish cook|grill cook,,,,
esco_1_2_1,14837,Actors,14832,Creative and performing artists,2,actor/actress|voice-over artist,,,,
esco_1_2_1,14838,"Announcers on radio, television and other media",14832,Creative and performing artists,3,presenter|audio describer|news anchor,,,,
esco_1_2_1,14839,Creative and performing artists not elsewhere classified,14832,Creative and performing artists,9,street artist|circus artist|puppeteer|community artist|street performer|variety artist|tourist animator|performance artist,,,,
esco_1_2_1,14835,Dancers and choreographers,14832,Creative and performing artists,4,dance répétiteur|dancer|choreographer|choreologist,,,,
esco_1_2_1,14836,"Film, stage and related directors and producers",14832,Creative and performing artists,17,technical director|art administrator|video and motion picture director|performance lighting director|animation director|video and motion picture producer|production designer|casting director,,,,
esco_1_2_1,14834,"Musicians, singers and composers",14832,Creative and performing artists,10,musical conductor|music director|disc jockey|music arranger|singer|composer|sound artist|choirmaster/choirmistress,,,,
esco_1_2_1,14833,Visual artists,14832,Creative and performing artists,11,art restorer|artistic painter|drawing artist|video artist|printmaker|sculptor|conceptual artist|storyboard artist,,,,
esco_1_2_1,14811,Computer network professionals,14808,Database and network professionals,3,ICT capacity planner|ICT network engineer|ICT network architect,,,,
esco_1_2_1,14812,Database and network professionals not elsewhere classified,14808,Database and network professionals,9,ICT security administrator|digital forensics expert|cyber incident responder|embedded systems security engineer|chief ICT security officer|ethical hacker|cybersecurity risk manager|knowledge engineer,,,,
esco_1_2_1,14809,Database designers and administrators,14808,Database and network professionals,5,data warehouse designer|database integrator|database administrator|database designer|database developer,,,,
esco_1_2_1,14810,Systems administrators,14808,Database and network professionals,3,ICT network administrator|system configurator|ICT system administrator,,,,
esco_1_2_1,15229,"Cleaners and helpers in offices, hotels and other establishments",15227,"Domestic, hotel and office cleaners and helpers",6,toilet attendant|furniture cleaner|building cleaner|aircraft groomer|room attendant|train cleaner,,,,
esco_1_2_1,15228,Domestic cleaners and helpers,15227,"Domestic, hotel and office cleaners and helpers",1,domestic cleaner,,,,
esco_1_2_1,15136,Building and related electricians,15135,Electrical equipment installers and repairers,7,building electrician|electrician|domestic electrician|industrial electrician|solar energy technician|event electrician|electric meter technician,,,,
esco_1_2_1,15138,Electrical line installers and repairers,15135,Electrical equipment installers and repairers,4,cable jointer|overhead line worker|electricity distribution technician|street lighting electrician,,,,
esco_1_2_1,15137,Electrical mechanics and fitters,15135,Electrical equipment installers and repairers,13,automotive battery technician|ski lift operator|electrical mechanic|theme park technician|automotive electrician|power tool repair technician|ground lighting officer|geothermal technician,,,,
esco_1_2_1,15140,Electronics mechanics and servicers,15139,Electronics and telecommunications installers and repairers,9,smart home installer|marine electronics technician|ATM repair technician|railway electronic technician|office equipment repair technician|tramways technician|avionics technician|vehicle electronics installer,,,,
esco_1_2_1,15141,Information and communications technology installers and servicers,15139,Electronics and telecommunications installers and repairers,9,telecommunications technician|communication infrastructure maintainer|radio technician|mobile devices technician|computer hardware repair technician|fibre optic installer|security alarm technician|telecommunications equipment maintainer,,,,
esco_1_2_1,14736,Electrical engineers,14735,Electrotechnology engineers,10,electromagnetic engineer|electric power generation engineer|smart home engineer|battery system engineer|electromechanical engineer|electrical engineer|power distribution engineer|battery simulation engineer,,,,
esco_1_2_1,14737,Electronics engineers,14735,Electrotechnology engineers,17,medical device engineer|satellite engineer|optoelectronic engineer|language engineer|electronics engineer|sensor engineer|flight test engineer|microelectronics designer,,,,
esco_1_2_1,14738,Telecommunications engineers,14735,Electrotechnology engineers,2,telecommunications engineer|telecommunications analyst,,,,
esco_1_2_1,14732,Chemical engineers,14727,Engineering professionals (excluding electrotechnology),12,oenologist|food technologist|synthetic materials engineer|gas distribution engineer|gas production engineer|brewmaster|rubber technologist|paper engineer,,,,
esco_1_2_1,14729,Civil engineers,14727,Engineering professionals (excluding electrotechnology),11,geological engineer|construction engineer|rail project engineer|pipeline engineer|drainage engineer|transport engineer|airport planning engineer|civil engineer,,,,
esco_1_2_1,14734,Engineering professionals not elsewhere classified,14727,Engineering professionals (excluding electrotechnology),41,dismantling engineer|biomedical engineer|dependability engineer|quantity surveyor|renewable energy engineer|component engineer|energy systems engineer|innovation engineer,,,,
esco_1_2_1,14730,Environmental engineers,14727,Engineering professionals (excluding electrotechnology),6,environmental mining engineer|recycling specialist|wastewater engineer|environmental expert|waste treatment engineer|environmental engineer,,,,
esco_1_2_1,14728,Industrial and production engineers,14727,Engineering professionals (excluding electrotechnology),15,clothing technologist|food production engineer|industrial engineer|maintenance and repair engineer|manufacturing engineer|textile technologist|food and beverage packaging technologist|packaging production manager,,,,
esco_1_2_1,14731,Mechanical engineers,14727,Engineering professionals (excluding electrotechnology),26,"steam engineer|welding engineer|equipment engineer|heating, ventilation, air conditioning engineer|rotating equipment engineer|agricultural engineer|packing machinery engineer|mechanical engineer",,,,
esco_1_2_1,14733,"Mining engineers, metallurgists and related professionals",14727,Engineering professionals (excluding electrotechnology),13,quarry engineer|chemical metallurgist|drilling engineer|explosives engineer|liquid fuel engineer|process metallurgist|mine development engineer|mineral processing engineer,,,,
esco_1_2_1,14788,Accountants,14787,Finance professionals,13,financial auditor|budget analyst|tax advisor|financial controller|public finance accountant|cost analyst|grants management officer|financial fraud examiner,,,,
esco_1_2_1,14790,Financial analysts,14787,Finance professionals,6,securities analyst|mergers and acquisitions analyst|insurance rating analyst|middle office analyst|financial analyst|investment analyst,,,,
esco_1_2_1,14789,Financial and investment advisers,14787,Finance professionals,16,investment manager|financial planner|corporate investment banker|investment adviser|investor relations manager|public funding advisor|business valuer|venture capitalist,,,,
esco_1_2_1,14900,Accounting associate professionals,14897,Financial and mathematical associate professionals,3,grants administrator|accounting assistant|bookkeeper,,,,
esco_1_2_1,14899,Credit and loans officers,14897,Financial and mathematical associate professionals,9,credit analyst|credit adviser|credit manager|mortgage broker|bank account manager|loan officer|mortgage loan underwriter|credit risk analyst,,,,
esco_1_2_1,14898,Securities and finance dealers and brokers,14897,Financial and mathematical associate professionals,13,foreign exchange trader|energy trader|stock trader|securities trader|financial trader|securities underwriter|stock broker|financial broker,,,,
esco_1_2_1,14901,"Statistical, mathematical and related associate professionals",14897,Financial and mathematical associate professionals,2,actuarial assistant|statistical assistant,,,,
esco_1_2_1,14902,Valuers and loss assessors,14897,Financial and mathematical associate professionals,8,insurance claims handler|foreclosure specialist|insurance fraud investigator|property appraiser|real estate surveyor|loss adjuster|personal property appraiser|gemmologist,,,,
esco_1_2_1,15068,Aquaculture workers,15067,"Fishery workers, hunters and trappers",11,aquaculture hatchery manager|water-based aquaculture technician|aquaculture cage technician|aquaculture rearing technician|aquaculture hatchery worker|aquaculture husbandry worker|aquaculture mooring manager|aquaculture harvesting technician,,,,
esco_1_2_1,15070,Deep-sea fishery workers,15067,"Fishery workers, hunters and trappers",3,deep-sea fishery worker|fisheries master|fisheries boatmaster,,,,
esco_1_2_1,15071,Hunters and trappers,15067,"Fishery workers, hunters and trappers",1,hunter,,,,
esco_1_2_1,15069,Inland and coastal waters fishery workers,15067,"Fishery workers, hunters and trappers",1,fisheries boatman,,,,
esco_1_2_1,15194,Food and related products machine operators,15193,Food and related products machine operators,55,hydrogenation machine operator|pasta operator|coffee grinder|candy machine operator|blending plant operator|sauce production operator|brew house operator|centrifuge operator,,,,
esco_1_2_1,15258,Fast food preparers,15257,Food preparation assistants,2,quick service restaurant crew member|pizzaiolo,,,,
esco_1_2_1,15259,Kitchen helpers,15257,Food preparation assistants,2,kitchen assistant|kitchen porter,,,,
esco_1_2_1,15145,"Bakers, pastry-cooks and confectionery makers",15143,Food processing and related trades workers,5,baker|pasta maker|chocolatier|confectioner|pastry maker,,,,
esco_1_2_1,15144,"Butchers, fishmongers and related food preparers",15143,Food processing and related trades workers,10,meat cutter|slaughterer|butcher|halal butcher|fish trimmer|meat preparations operator|fish preparation operator|kosher slaughterer,,,,
esco_1_2_1,15146,Dairy-products makers,15143,Food processing and related trades workers,2,dairy products maker|milk reception operator,,,,
esco_1_2_1,15148,Food and beverage tasters and graders,15143,Food processing and related trades workers,5,coffee taster|master coffee roaster|farm milk controller|food grader|malt master,,,,
esco_1_2_1,15147,"Fruit, vegetable and related preservers",15143,Food processing and related trades workers,2,oilseed presser|oil mill operator,,,,
esco_1_2_1,15149,Tobacco preparers and tobacco products makers,15143,Food processing and related trades workers,3,curing room worker|leaf sorter|leaf tier,,,,
esco_1_2_1,15066,Forestry and related workers,15065,Forestry and related workers,1,forest ranger,,,,
esco_1_2_1,15156,Garment and related pattern-makers and cutters,15154,Garment and related trades workers,7,clothing product grader|wearing apparel patternmaker|digital prototyper|leather goods CAD patternmaker|leather goods patternmaker|clothing CAD patternmaker|clothing cutter,,,,
esco_1_2_1,15159,"Pelt dressers, tanners and fellmongers",15154,Garment and related trades workers,2,tanner|leather sorter,,,,
esco_1_2_1,15157,"Sewing, embroidery and related workers",15154,Garment and related trades workers,5,made-up textile articles manufacturer|sewing machinist|embroiderer|glove maker|doll maker,,,,
esco_1_2_1,15160,Shoemakers and related workers,15154,Garment and related trades workers,13,bespoke footwear technician|hand lasting operator|orthopaedic footwear technician|leather goods hand cutting operator|leather goods manual operator|footwear CAD patternmaker|footwear 3D developer|leather goods finishing operator,,,,
esco_1_2_1,15155,"Tailors, dressmakers, furriers and hatters",15154,Garment and related trades workers,6,dressmaker|tailor|costume maker|wig and hairpiece maker|hide grader|milliner,,,,
esco_1_2_1,15158,Upholsterers and related workers,15154,Garment and related trades workers,7,marine upholsterer|railway car upholsterer|mattress maker|upholsterer|aircraft interior technician|motor vehicle upholsterer|furniture upholsterer,,,,
esco_1_2_1,14953,General office clerks,14952,General office clerks,2,membership administrator|office clerk,,,,
esco_1_2_1,15005,Beauticians and related workers,15003,"Hairdressers, beauticians and related workers",12,masseur/masseuse|spa attendant|pedicurist|make-up artist|make-up and hair designer|hair removal technician|weight loss consultant|aesthetician,,,,
esco_1_2_1,15004,Hairdressers,15003,"Hairdressers, beauticians and related workers",5,hairdresser|barber|hairdresser assistant|hair stylist|performance hairdresser,,,,
esco_1_2_1,15125,"Glass makers, cutters, grinders and finishers",15120,Handicraft workers,2,glass-blower|glass beveller,,,,
esco_1_2_1,15128,"Handicraft workers in textile, leather and related materials",15120,Handicraft workers,6,weaver|knitter|leather goods artisanal worker|carpet handicraft worker|carpet weaver|fishing net maker,,,,
esco_1_2_1,15127,"Handicraft workers in wood, basketry and related materials",15120,Handicraft workers,6,toymaker|wicker furniture maker|brush maker|artisan papermaker|basketmaker|woodcarver,,,,
esco_1_2_1,15129,Handicraft workers not elsewhere classified,15120,Handicraft workers,2,sports equipment repair technician|candle maker,,,,
